No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
1,bmg2019ccpo,2019-01-30T21:13:11.615709Z,0.2526271939,122.3435059,3.021604766,MLv,131,7,139.9782639,"Minahassa Peninsula, Sulawesi",BMKG
2,bmg2019ccfe,2019-01-30T15:57:07.126492Z,-2.94203496,119.4213715,2.439421611,MLv,12,7,149.2787399,"Sulawesi, Indonesia",BMKG
3,bmg2019ccdi,2019-01-30T15:01:21.032063Z,-1.820792913,119.384491,2.882417838,MLv,10,10,189.9473495,"Sulawesi, Indonesia",BMKG
4,bmg2019cbwt,2019-01-30T11:42:20.668034Z,-1.805694461,119.502739,3.722964817,MLv,10,12,181.2581348,"Sulawesi, Indonesia",BMKG
5,bmg2019cbwm,2019-01-30T11:35:38.805188Z,-1.835213184,119.4530029,4.520827759,MLv,10,20,184.5670452,"Sulawesi, Indonesia",BMKG
6,bmg2019cbwc,2019-01-30T11:22:01.062293Z,-1.802022696,119.2803879,2.941385352,MLv,10,7,199.7849655,"Sulawesi, Indonesia",BMKG
7,bmg2019cbou,2019-01-30T07:41:03.739187Z,-2.683614016,119.4519196,2.307130848,MLv,19,6,280.9777985,"Sulawesi, Indonesia",BMKG
8,bmg2019cawm,2019-01-29T22:25:54.736218Z,-0.2938087881,122.6948318,2.695778741,MLv,10,6,218.660202,"Minahassa Peninsula, Sulawesi",BMKG
9,bmg2019caqy,2019-01-29T19:37:30.466955Z,-3.108350515,119.6030731,2.038986762,MLv,10,4,193.3508453,"Sulawesi, Indonesia",BMKG
10,bmg2019cahg,2019-01-29T14:43:35.781694Z,1.821553946,122.7184982,2.739771527,MLv,10,5,288.9256897,"Minahassa Peninsula, Sulawesi",BMKG
11,bmg2019cadt,2019-01-29T12:58:30.696125Z,1.326952815,121.8788528,3.301585748,MLv,10,9,210.6083221,"Minahassa Peninsula, Sulawesi",BMKG
12,bmg2019cabc,2019-01-29T11:37:37.854341Z,-2.974168539,119.530899,3.329663484,MLv,10,9,138.8629961,"Sulawesi, Indonesia",BMKG
13,bmg2019bzla,2019-01-29T03:29:56.24127Z,-1.174170494,120.3514023,3.561968474,MLv,14,9,101.9941406,"Sulawesi, Indonesia",BMKG
14,bmg2019byzt,2019-01-28T21:48:27.496486Z,-1.245347977,123.4704895,2.94111711,MLv,10,8,306.7996521,"Sulawesi, Indonesia",BMKG
15,bmg2019byyg,2019-01-28T21:03:30.289456Z,-1.256312728,120.4591827,3.434203893,MLv,10,17,84.58416748,"Sulawesi, Indonesia",BMKG
16,bmg2019byvr,2019-01-28T19:44:52.254963Z,-0.4464036226,123.4030991,2.983714896,MLv,10,13,92.02949715,"Minahassa Peninsula, Sulawesi",BMKG
17,bmg2019bypc,2019-01-28T16:25:05.85215Z,-3.015136957,119.5028076,2.777232822,MLv,10,6,138.4843092,"Sulawesi, Indonesia",BMKG
18,bmg2019byiy,2019-01-28T13:18:46.66929Z,-2.90733695,119.5255432,2.291344455,MLv,14,6,249.0897064,"Sulawesi, Indonesia",BMKG
19,bmg2019bycw,2019-01-28T10:14:38.101493Z,-0.2710579336,124.6778412,3.811393161,MLv,10,13,104.6525269,Southern Molucca Sea,BMKG
20,bmg2019bycb,2019-01-28T09:50:05.263153Z,-6.006632328,122.8611755,3.615228946,MLv,10,14,147.927475,Flores Sea,BMKG
21,bmg2019bxrc,2019-01-28T04:18:33.213051Z,0.3693347275,121.6215744,4.24121462,MLv,154,19,99.13768005,"Minahassa Peninsula, Sulawesi",BMKG
22,bmg2019bxmx,2019-01-28T02:11:06.275278Z,0.1248299032,123.5928879,3.446158151,MLv,112,10,93.56497192,"Minahassa Peninsula, Sulawesi",BMKG
23,bmg2019bwwt,2019-01-27T18:01:18.188274Z,0.7525649667,121.2537689,2.978005992,MLv,59,6,140.4910583,"Minahassa Peninsula, Sulawesi",BMKG
24,bmg2019bwws,2019-01-27T18:00:37.430558Z,-4.063264847,121.742363,2.207896773,MLv,20,6,170.3960266,"Sulawesi, Indonesia",BMKG
25,bmg2019bwuc,2019-01-27T16:41:20.941628Z,1.187781453,124.0351105,3.40527249,MLv,10,8,132.9652786,"Minahassa Peninsula, Sulawesi",BMKG
26,bmg2019bwcw,2019-01-27T07:58:05.312959Z,-2.831220627,119.5212479,2.86286329,MLv,10,7,263.2576218,"Sulawesi, Indonesia",BMKG
27,bmg2019bvmc,2019-01-26T23:29:50.889305Z,0.6597940922,125.4181671,3.576724069,MLv,28,19,62.2098465,Northern Molucca Sea,BMKG
28,bmg2019bvlw,2019-01-26T23:23:15.937518Z,1.209782839,121.2937622,2.757570012,MLv,10,8,202.407547,"Minahassa Peninsula, Sulawesi",BMKG
29,bmg2019bvfd,2019-01-26T19:59:25.623521Z,-0.5566632152,121.8175888,3.597600466,MLv,10,18,67.91641235,"Minahassa Peninsula, Sulawesi",BMKG
30,bmg2019bvex,2019-01-26T19:52:05.500283Z,0.4917668104,122.3790359,2.996792542,MLv,79,12,167.1286926,"Minahassa Peninsula, Sulawesi",BMKG
31,bmg2019butg,2019-01-26T13:58:55.217901Z,-0.02703299746,123.2290421,2.999966046,MLv,142,10,106.8785477,"Minahassa Peninsula, Sulawesi",BMKG
32,bmg2019btip,2019-01-25T19:28:17.150159Z,-2.796319485,119.3733826,2.192787323,MLv,10,9,160.6747866,"Sulawesi, Indonesia",BMKG
33,bmg2019btfc,2019-01-25T17:41:35.626034Z,-2.826547384,119.4784622,2.697540686,MLv,12,13,150.6094036,"Sulawesi, Indonesia",BMKG
